Geneid	Control_1	Control_2	Treat_1	Treat_2
ENSDARG00000094556	2	0	0	0
ENSDARG00000053535	594	579	397	413
ENSDARG00000015312	489	538	513	455
ENSDARG00000080355	0	0	0	0
ENSDARG00000015506	3035	2764	1759	1496
ENSDARG00000013006	117	116	234	156
ENSDARG00000058287	535	659	541	472
ENSDARG00000069910	980	1067	1063	951
ENSDARG00000092693	113145	116053	98839	108858
ENSDARG00000084532	4	3	4	0
ENSDARG00000081856	1	3	5	6
ENSDARG00000085301	0	0	0	0
ENSDARG00000081849	0	0	0	2
ENSDARG00000082811	0	3	6	2
ENSDARG00000095892	4	2	2	5
ENSDARG00000095934	5	1	2	0
ENSDARG00000079191	126	183	15	15
ENSDARG00000105033	17	15	6	6
ENSDARG00000102858	81	66	209	234
ENSDARG00000104206	0	0	0	0
ENSDARG00000093282	10	9	1	3
ENSDARG00000101520	0	0	0	0
ENSDARG00000099334	0	0	0	0
